M2_POINT_ID,MEASURE_DATETIME,POINT_NAME,POINT_ADDRESS,POINT_DESC,WATER_PRESSURE,DEVICE_TEMPERATURE,REG_TIME,LATITUDE,LONGITUDE
"1,868",7/1/2024 8:50:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,31.49,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 9:00:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,32.34,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 9:00:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,35.71,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 9:00:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,33.49,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 9:00:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,46.63,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 9:00:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,48.46,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 9:10:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,48.08,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 9:10:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,43.07,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 9:10:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,49.42,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 9:10:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,30.37,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 9:10:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,38.89,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 9:20:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,40.17,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 9:20:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,33.94,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 9:20:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,42.01,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 9:20:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,43.52,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 9:20:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,33.78,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 9:30:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,31.46,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 9:30:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,49.27,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 9:30:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,41.22,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 9:30:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,44.42,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 9:30:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,32.97,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 9:40:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,48.74,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 9:40:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,37.2,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 9:40:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,45.71,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 9:40:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,34.03,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 9:40:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,42.65,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 9:50:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,45.52,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 9:50:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,42.64,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 9:50:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,32.12,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 9:50:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,46.85,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 9:50:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,38.17,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 10:00:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,47.5,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 10:00:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,32.41,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 10:00:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,47.68,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 10:00:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,40.25,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 10:00:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,38.44,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 10:10:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,33.63,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 10:10:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,32.9,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 10:10:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,33.58,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 10:10:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,37.05,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 10:10:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,38.59,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 10:20:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,43.35,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 10:20:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,30.08,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 10:20:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,38.91,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 10:20:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,31.84,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 10:20:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,44,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 10:30:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,42.36,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 10:30:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,39.77,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 10:30:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,37.66,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 10:30:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,32.01,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 10:30:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,32.05,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 10:40:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,40.06,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 10:40:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,49.52,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 10:40:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,31.39,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 10:40:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,39.59,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 10:40:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,46.05,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 10:50:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,41.12,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 10:50:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,32.03,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 10:50:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,39.26,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 10:50:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,48.14,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 10:50:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,41.21,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 11:00:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,43.61,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 11:00:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,47.98,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 11:00:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,30.89,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 11:00:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,30.12,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 11:00:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,43.27,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 11:10:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,49.57,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 11:10:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,49.32,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 11:10:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,35.53,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 11:10:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,46.59,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 11:10:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,36.91,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 11:20:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,48.19,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 11:20:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,33.51,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 11:20:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,30.44,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 11:20:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,49.98,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 11:20:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,45.72,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 11:30:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,38.42,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 11:30:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,42.35,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 11:30:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,38.16,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 11:30:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,30.13,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 11:30:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,49.38,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 11:40:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,41.91,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 11:40:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,31.55,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 11:40:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,34.8,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 11:40:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,33.12,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 11:40:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,48.24,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 11:50:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,40.84,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 11:50:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,36.6,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 11:50:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,36.59,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 11:50:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,35.89,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 11:50:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,36.58,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 12:00:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,43.79,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 12:00:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,35.45,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 12:00:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,47.37,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 12:00:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,43.07,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 12:00:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,45.34,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 12:10:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,33.8,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 12:10:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,38.03,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 12:10:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,34.44,14,5/10/2024 4:59,39.88429001,32.79584398
